sciname,common,type
Acinonyx jubatus,Cheetah,feline
Ailuropoda melanoleuca,Giant panda,bear
Alligator mississippiensis,American alligator,reptile
Amazona aestiva,Turquoise-fronted amazon,bird
Anolis carolinensis,Green anole,reptile
Aotus nancymaae,Nancy Ma's night monkey,monkey
Apteryx australis mantelli,North Island brown kiwi,bird
Apteryx rowi,Okarito kiwi,bird
Aquila chrysaetos canadensis,American golden eagle,bird
Balaenoptera acutorostrata,Minke whale,sea-mammal
Balaenoptera acutorostrata scammoni,Minke whale,sea-mammal
Bison bison,American bison,ruminant
Bison bison bison,American bison,ruminant
Bos mutus,Domestic yak,ruminant
Bos taurus,Cattle,ruminant
Bubalus bubalis,Water buffalo,ruminant
Calidris pugnax,Ruff,bird
Callithrix jacchus,Common marmoset,monkey
Camelus bactrianus,Bactrian camel,ruminant
Camelus dromedarius,Arabian camel,ruminant
Camelus ferus,Wild Bactrian camel,ruminant
Canis lupus,Dog,canine
Canis lupus dingo,Dingo,canine
Canis lupus familiaris,Domestic dog,canine
Capra hircus,Goat,ruminant
Carlito syrichta,Philippine tarsier,monkey
Cebus capucinus,White-headed capuchin,monkey
Cebus capucinus imitator,White-headed capuchin,monkey
Ceratotherium simum,Southern white rhinoceros,ruminant
Ceratotherium simum simum,Southern white rhinoceros,ruminant
Cercocebus atys,Sooty mangabey,monkey
Chelonia mydas,Green sea turtle,reptile
Chinchilla lanigera,Long-tailed chinchilla,rodent
Chlorocebus sabaeus,Green Monkey,monkey
Chrysemys picta bellii,Painted turtle,reptile
Chrysochloris asiatica,Cape golden mole,rodent
Colinus virginianus,Northern bobwhite,bird
Colobus angolensis palliatus,Angolan black-and-white colobus,monkey
Condylura cristata,Star-nosed mole,rodent
Coturnix japonica,Japanese quail,bird
Cricetulus griseus,Chinese hamster,rodent
Crocodylus porosus,Saltwater crocodile,reptile
Dasypus novemcinctus,Nine-banded armadillo,medium-mammal
Delphinapterus leucas,Beluga whale,sea-mammal
Desmodus rotundus,Common vampire bat,bat
Dromaius novaehollandiae,Emu,bird
Echinops telfairi,Lesser hedgehog tenrec,rodent
Elephantulus edwardii,Cape elephant shrew,rodent
Enhydra lutris kenyoni,Sea otter,sea-mammal
Eptesicus fuscus,Big brown bat,bat
Equus asinus,Wild ass,ruminant
Equus caballus,Horse,ruminant
Equus przewalskii,Przewalski's horse,ruminant
Erinaceus europaeus,European hedgehog,rodent
Felis catus,Domestic cat,feline
Fukomys damarensis,Damara Mole-rat,rodent
Galeopterus variegatus,Sunda flying lemur,monkey
Gallus gallus,Red junglefowl,bird
Gavialis gangeticus,Fish-eating crocodile,reptile
Gorilla gorilla gorilla,Gorilla,monkey
Haliaeetus leucocephalus,Bald eagle,bird
Heterocephalus glaber,Naked mole-rat,rodent
Hipposideros armiger,Great roundleaf bat,bat
Homo sapiens,Human,monkey
Ictidomys tridecemlineatus,Thirteen-lined ground squirrel,rodent
Jaculus jaculus,Lesser Egyptian jerboa,rodent
Lagenorhynchus obliquidens,Pacific white-sided dolphin,sea-mammal
Lepidothrix coronata,Blue-crowned manakin,bird
Leptonychotes weddellii,Weddell seal,sea-mammal
Lipotes vexillifer,Baiji dolphin,sea-mammal
Lonchura striata domestica,Bengalese finch,bird
Loxodonta africana,African bush elephant,elephant
Macaca fascicularis,Crab-eating macaque,monkey
Macaca mulatta,Rhesus macaque,monkey
Macaca nemestrina,Southern pig-tailed macaque,monkey
Mandrillus leucophaeus,Drill,monkey
Manis javanica,Sunda pangolin,medium-mammal
Marmota marmota,Alpine marmot,rodent
Marmota marmota marmota,Alpine marmot,rodent
Meriones unguiculatus,Mongolian gerbil,rodent
Mesocricetus auratus,Golden hamster,rodent
Microcebus murinus,Gray mouse lemur,monkey
Microtus ochrogaster,Prairie vole,rodent
Miniopterus natalensis,Natal long-fingered bat,bat
Monachus monachus,Mediterranean monk seal,sea-mammal
Monodelphis domestica,Gray short-tailed opossum,marsupial
Mus caroli,Ryukyu mouse,mouse
Mus musculus,House mouse,rodent
Mus pahari,Gairdner's shrewmouse,rodent
Myotis brandtii,Brandt's bat,bat
Myotis davidii,David's vesper bat,bat
Myotis lucifugus,Little brown bat,bat
Nannospalax galili,Blind mole rat,rodent
Neomonachus schauinslandi,Hawaiian monk seal,sea-mammal
Neophocaena asiaeorientalis asiaeorientalis,Porpoise,sea-mammal
Nomascus leucogenys,Northern white-cheeked gibbon,monkey
Notechis scutatus,Tiger snake,reptile
Nothoprocta perdicaria,Chilean tinamou,bird
Numida meleagris,Helmeted guineafowl,bird
Ochotona princeps,American pika,rodent
Odobenus rosmarus,Pacific walrus,sea-mammal
Odobenus rosmarus divergens,Pacific walrus,sea-mammal
Orcinus orca,Killer whale,sea-mammal
Orycteropus afer,Aardvark,medium-mammal
Orycteropus afer afer,Aardvark,medium-mammal
Oryctolagus cuniculus,European rabbit,rodent
Otolemur garnettii,Northern greater galago,monkey
Ovis aries,Sheep,ruminant
Ovis aries musimon,Mouflon,ruminant
Pan paniscus,Bonobo,monkey
Pan troglodytes,Common chimpanzee,monkey
Panthera pardus,Leopard,feline
Panthera tigris,Siberian Tiger,feline
Panthera tigris altaica,Siberian Tiger,feline
Pantholops hodgsonii,Tibetan antelope,ruminant
Papio anubis,Olive baboon,monkey
Peromyscus maniculatus,Deer mouse,rodent
Peromyscus maniculatus bairdii,Deer mouse,rodent
Phascolarctos cinereus,Koala,marsupial
Physeter catodon,Sperm whale,sea-mammal
Piliocolobus tephrosceles,Ugandan red colobus,monkey
Pogona vitticeps,Central bearded dragon,reptile
Pongo abelii,Sumatran orangutan,monkey
Propithecus coquereli,Coquerel's sifaka,monkey
Protobothrops mucrosquamatus,Pit viper,reptile
Pseudonaja textilis,Eastern brown snake,reptile
Pseudopodoces humilis,Ground tit,bird
Pteropus alecto,Black flying fox,bat
Pteropus vampyrus,Large flying fox,bat
Puma concolor,Cougar,feline
Rattus norvegicus,Brown rat,rodent
Rhinolophus sinicus,Chinese rufous horseshoe bat,bat
Rhinopithecus bieti,Black snub-nosed monkey,monkey
Rhinopithecus roxellana,Golden snub-nosed monkey,monkey
Rousettus aegyptiacus,Egyptian fruit bat,bat
Saimiri boliviensis,Black-capped squirrel monkey,monkey
Saimiri boliviensis boliviensis,Black-capped squirrel monkey,monkey
Sarcophilus harrisii,Tasmanian devil,marsupial
Sorex araneus,Common shrew,rodent
Sturnus vulgaris,Common starling,bird
Sus scrofa,Wild boar,pig
Terrapene mexicana triunguis,Common box turtle,reptile
Thamnophis sirtalis,Common garter snake,reptile
Theropithecus gelada,Gelada,monkey
Trichechus manatus,American manatee,sea-mammal
Trichechus manatus latirostris,American manatee,sea-mammal
Tupaia chinensis,Northern treeshrew,rodent
Tursiops truncatus,Common bottlenose dolphin,sea-mammal
Urocitellus parryii,Arctic ground squirrel,rodent
Ursus arctos horribilis,Grizzly bear,bear
Ursus maritimus,Polar bear,bear
Vicugna pacos,Alpaca,ruminant
Vulpes vulpes,Red fox,canine
Zonotrichia albicollis,White-throated sparrow,bird
